height,weight,length,height_range,weight_range,
"3,4",40,95,"3,4",40,
"3,4",41,96,"3,5",41,
"3,4",42,97,"3,6",42,
"3,4",43,98,"3,7",43,
"3,4",44,99,"3,8",44,
"3,4",45,100,"3,9",45,
"3,4",46,101,"3,10",46,
"3,4",47,102,"3,11",47,
"3,4",48,103,"4,0",48,
"3,4",49,104,"4,1",49,
"3,4",50,105,"4,2",50,
"3,4",51,105,"4,3",51,
"3,4",52,105,"4,4",52,
"3,4",53,105,"4,5",53,
"3,4",54,105,"4,6",54,
"3,4",55,105,"4,7",55,
"3,4",56,106,"4,8",56,
"3,4",57,106,"4,9",57,
"3,4",58,106,"4,10",58,
"3,4",59,106,"4,11",59,
"3,4",60,107,"5,0",60,
"3,4",61,107,"5,1",61,
"3,4",62,107,"5,2",62,
"3,4",63,107,"5,3",63,
"3,4",64,107,"5,4",64,
"3,4",65,107,"5,5",65,
"3,4",66,107,,66,
"3,4",67,0,,67,
"3,4",68,0,,68,
"3,4",69,0,,69,
"3,4",70,0,,70,
"3,5",40,95,,71,
"3,5",41,96,,72,
"3,5",42,97,,73,
"3,5",43,98,,74,
"3,5",44,99,,75,
"3,5",45,100,,76,
"3,5",46,101,,77,
"3,5",47,102,,78,
"3,5",48,103,,79,
"3,5",49,104,,80,
"3,5",50,105,,81,
"3,5",51,105,,82,
"3,5",52,105,,83,
"3,5",53,105,,84,
"3,5",54,105,,85,
"3,5",55,105,,86,
"3,5",56,106,,87,
"3,5",57,107,,88,
"3,5",58,107,,89,
"3,5",59,108,,90,
"3,5",60,108,,91,
"3,5",61,108,,92,
"3,5",62,108,,93,
"3,5",63,108,,94,
"3,5",64,108,,95,
"3,5",65,108,,96,
"3,5",66,108,,97,
"3,5",67,0,,98,
"3,5",68,0,,99,
"3,5",69,0,,100,
"3,5",70,0,,101,
"3,6",40,96,,102,
"3,6",41,97,,103,
"3,6",42,98,,104,
"3,6",43,99,,105,
"3,6",44,100,,106,
"3,6",45,101,,107,
"3,6",46,102,,108,
"3,6",47,103,,109,
"3,6",48,104,,110,
"3,6",49,105,,111,
"3,6",50,106,,112,
"3,6",51,106,,113,
"3,6",52,106,,114,
"3,6",53,106,,115,
"3,6",54,106,,116,
"3,6",55,106,,117,
"3,6",56,107,,118,
"3,6",57,107,,119,
"3,6",58,108,,120,
"3,6",59,108,,121,
"3,6",60,108,,122,
"3,6",61,108,,123,
"3,6",62,108,,124,
"3,6",63,108,,125,
"3,6",64,108,,126,
"3,6",65,108,,127,
"3,6",66,108,,128,
"3,6",67,108,,129,
"3,6",68,109,,130,
"3,6",69,109,,,
"3,6",70,109,,,
"3,7",40,96,,,
"3,7",41,97,,,
"3,7",42,98,,,
"3,7",43,99,,,
"3,7",44,100,,,
"3,7",45,101,,,
"3,7",46,102,,,
"3,7",47,103,,,
"3,7",48,104,,,
"3,7",49,105,,,
"3,7",50,106,,,
"3,7",51,106,,,
"3,7",52,106,,,
"3,7",53,106,,,
"3,7",54,106,,,
"3,7",55,106,,,
"3,7",56,107,,,
"3,7",57,107,,,
"3,7",58,108,,,
"3,7",59,108,,,
"3,7",60,109,,,
"3,7",61,109,,,
"3,7",62,109,,,
"3,7",63,109,,,
"3,7",64,109,,,
"3,7",65,109,,,
"3,7",66,109,,,
"3,7",67,109,,,
"3,7",68,109,,,
"3,7",69,109,,,
"3,7",70,109,,,
"3,8",40,97,,,
"3,8",41,98,,,
"3,8",42,99,,,
"3,8",43,100,,,
"3,8",44,101,,,
"3,8",45,102,,,
"3,8",46,103,,,
"3,8",47,104,,,
"3,8",48,105,,,
"3,8",49,106,,,
"3,8",50,107,,,
"3,8",51,107,,,
"3,8",52,107,,,
"3,8",53,107,,,
"3,8",54,108,,,
"3,8",55,108,,,
"3,8",56,108,,,
"3,8",57,109,,,
"3,8",58,109,,,
